timestamp,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,us_date_format
23.08.2023 10:44:10,41,32,9,6.6e-05,08/23/2023
23.08.2023 10:44:51,75,47,28,0.0001265,08/23/2023

